0.0007 0.0002
0.0015 0.0240
0.0032 0.0437
0.0090 0.0618
0.0187 0.0734
0.0268 0.0791
0.0362 0.0869
0.0484 0.0948
0.0633 0.1015
0.0781 0.1075
0.0939 0.1142
0.1069 0.1175
0.1227 0.1206
0.1375 0.1247
0.1524 0.1289
0.1672 0.1335
0.1821 0.1380
0.1975 0.1441
0.2096 0.1483
0.2240 0.1514
0.2388 0.1564
0.2537 0.1621
0.2685 0.1689
0.2834 0.1778
0.2935 0.1862
0.2965 0.1973
0.2905 0.2074
0.2840 0.2227
0.2679 0.2361
0.2660 0.2569
0.2800 0.2748
0.2920 0.2909
0.3052 0.3018
0.3217 0.3104
0.3360 0.3241
0.3510 0.3375
0.3583 0.3619
0.3603 0.3757
0.3590 0.3958
0.3502 0.4059
0.3347 0.4153
0.3198 0.4249
0.3036 0.4343
0.2888 0.4404
0.2739 0.4463
0.2591 0.4548
0.2442 0.4651
0.2292 0.4748
0.2264 0.4952
0.2375 0.5097
0.2523 0.5224
0.2672 0.5313
0.2820 0.5411
0.2970 0.5530
0.3117 0.5690
0.3265 0.5846
0.3311 0.6004
0.3344 0.6237
0.3394 0.6516
0.3522 0.6693
0.3455 0.6915
0.3306 0.7048
0.3185 0.7159
0.3036 0.7253
0.2989 0.7413
0.2861 0.7543
0.2782 0.7697
0.2785 0.7859
0.2862 0.7996
0.2861 0.8157
0.2712 0.8277
0.2564 0.8357
0.2415 0.8426
0.2267 0.8481
0.2118 0.8538
0.1979 0.8591
0.1821 0.8642
0.1672 0.8691
0.1524 0.8744
0.1375 0.8793
0.1226 0.8849
0.1078 0.8866
0.0939 0.8909
0.0781 0.8966
0.0633 0.9021
0.0490 0.9061
0.0363 0.9126
0.0214 0.9214
0.0089 0.9317
0.0033 0.9496
0.0006 0.9732
0.0002 0.9997
